,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
132,Indra K. Nooyi,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",http://www.pepsico.com,23,"264,000",PepsiCo,2017
133,Claudio Descalzi,Energy,Petroleum Refining,"Rome, Italy",http://www.eni.com,23,"33,536",ENI,2017
134,Yang Jie,Telecommunications,Telecommunications,"Beijing, China",http://www.chinatelecom.com.cn,18,"413,536",China Telecommunications,2017
135,Juan R. Luciano,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",http://www.adm.com,23,"31,800",Archer Daniels Midland,2017
136,Yin Jiaxu,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.norincogroup.com.cn,8,"234,771",China North Industries Group,2017
137,Yu Xubo,Wholesalers,Trading,"Beijing, China",http://www.cofco.com,23,"101,708",COFCO,2017
138,Xu Heyi,Motor Vehicles & Parts,Motor Vehicles and Parts,"Beijing, China",http://www.baicgroup.com.cn,5,"134,765",Beijing Automotive Group,2017
139,David P. Abney,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA",http://www.ups.com,23,"335,520",UPS,2017
140,Wu Xiaohui,Financials,"Insurance: Life, Health (Mutual)","Beijing, China",http://www.anbanggroup.com,1,"40,707",Anbang Insurance Group,2017
141,Carlos Tavares,Motor Vehicles & Parts,Motor Vehicles and Parts,"Paris, France",http://www.groupe-psa.com,23,"175,341",Peugeot,2017
142,Robert G. Miller,Food & Drug Stores,Food and Drug Stores,"Boise, ID",http://www.albertsons.com,13,"273,000",Albertsons Cos.,2017
143,Seiji Inagaki,Financials,"Insurance: Life, Health (stock)","Tokyo, Japan",http://www.dai-ichi-life-hd.com,23,"62,606",Dai-ichi Life Holdings,2017
144,Ning Gaoning,Wholesalers,Trading,"Beijing, China",http://www.sinochem.com,22,"60,576",Sinochem Group,2017
145,Brian M. Krzanich,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",http://www.intel.com,23,"106,000",Intel,2017
146,Takehiko Kakiuchi,Wholesalers,Trading,"Tokyo, Japan",http://www.mitsubishicorp.com,23,"77,164",Mitsubishi,2017
147,Wilhelm Hubner,Food & Drug Stores,Food and Drug Stores,"Croix, France",http://www.auchanholding.com,21,"342,709",Auchan Holding,2017
148,Alexander R. Wynaendts,Financials,"Insurance: Life, Health (stock)","The Hague, Netherlands",http://www.aegon.com,22,"29,380",Aegon,2017
149,John R. Strangfeld,Financials,"Insurance: Life, Health (stock)","Newark, NJ",http://www.prudential.com,23,"49,739",Prudential Financial,2017
150,Vittorio Colao,Telecommunications,Telecommunications,"Newbury, Britain",http://www.vodafone.com,18,"111,556",Vodafone Group,2017
151,Paul Polman,Household Products,Household and Personal Products,"London, Britain",http://www.unilever.com,23,"168,832",Unilever,2017
152,Paulo Rogerio Caffarelli,Financials,Banks: Commercial and Savings,"Brasilia, Brazil",http://www.bb.com.br,23,"100,622",Banco do Brasil,2017
153,Jose Antonio Gonzalez Anaya,Energy,"Mining, Crude-Oil Production","Mexico City, Mexico",http://www.pemex.com,23,"125,689",Pemex,2017
154,Jose Maria Alvarez-Pallete Lopez,Telecommunications,Telecommunications,"Madrid, Spain",http://www.telefonica.com,23,"127,323",Telefonica,2017
155,Luiz Carlos Trabuco Cappi,Financials,Banks: Commercial and Savings,"Osasco, Brazil",http://www.bradesco.com.br,21,"94,541",Banco Bradesco,2017
156,Gregory J. Hayes,Aerospace & Defense,Aerospace and Defense,"Farmington, CT",http://www.utc.com,23,"201,600",United Technologies,2017
157,Lakshmi N. Mittal,Materials,Metals,"Luxembourg, Luxembourg",http://www.arcelormittal.com,13,"198,517",ArcelorMittal,2017
158,Carlos Ghosn,Motor Vehicles & Parts,Motor Vehicles and Parts,"Boulogne-Billancourt, France",http://www.groupe.renault.com,23,"124,849",Renault,2017
159,Igor I. Sechin,Energy,Petroleum Refining,"Moscow, Russia",http://www.rosneft.com,12,"295,800",Rosneft Oil,2017
160,Zhang Shiping,Industrials,Textiles,"Shandong, China",http://www.weiqiaocy.com,6,"135,393",Shandong Weiqiao Pioneering Group,2017
161,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, OH",http://www.marathonpetroleum.com,6,"44,460",Marathon Petroleum,2017
162,Robert A. Iger,Media,Entertainment,"Burbank, CA",http://www.disney.com,23,"195,000",Disney,2017
163,Tan Ruisong,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.avic.com,9,"457,097",Aviation Industry Corp. of China,2017
164,Ralph Hamers,Financials,Banks: Commercial and Savings,"Amsterdam, Netherlands",http://www.ing.com,23,"51,943",ING Group,2017
165,Nobuyuki Hirano,Financials,Banks: Commercial and Savings,"Tokyo, Japan",http://www.mufg.jp,16,"115,276",Mitsubishi UFJ Financial Group,2017
166,Dick Boer,Food & Drug Stores,Food and Drug Stores,"Zaandam, Netherlands",http://www.aholddelhaize.com,23,"225,000",Royal Ahold Delhaize,2017
167,Bruce D. Broussard,Health Care,Health Care: Insurance and Managed Care,"Louisville, KY",http://www.humana.com,19,"51,600",Humana,2017
168,Ryuichi Isaka,Food & Drug Stores,Food and Drug Stores,"Tokyo, Japan",http://www.7andi.com,12,"54,712",Seven & I Holdings,2017
169,Sanjiv Singh,Energy,Petroleum Refining,"New Delhi, India",http://www.iocl.com,23,"34,999",Indian Oil,2017
170,Severin Schwan,Health Care,Pharmaceuticals,"Basel, Switzerland",http://www.roche.com,23,"94,052",Roche Group,2017
171,Tan Xiangdong,Transportation,Airlines,"Haikou City, China",http://www.hnagroup.com,3,"220,258",HNA Group,2017
172,Niu Ximing,Financials,Banks: Commercial and Savings,"Shanghai, China",http://www.bankcomm.com,9,"95,160",Bank of Communications,2017
173,Chang Zhenming,Financials,Diversified Financials,"Beijing, China",http://www.citicgroup.com.cn,9,"201,263",CITIC Group,2017
174,Ian C. Read,Health Care,Pharmaceuticals,"New York, NY",http://www.pfizer.com,23,"96,500",Pfizer,2017
175,Werner Baumann,Health Care,Pharmaceuticals,"Leverkusen, Germany",http://www.bayer.com,23,"115,170",Bayer,2017
176,Brian Duperreault,Financials,Insurance: Property and Casualty (Stock),"New York, NY",http://www.aig.com,22,"56,400",AIG,2017
177,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,"Mexico City, Mexico",http://www.americamovil.com,11,"194,193",America Movil,2017
178,Hwan-Eik Cho,Energy,Utilities,"Jeollanam-do, South Korea",http://www.kepco.co.kr,23,"43,688",Korea Electric Power,2017
179,Marillyn A. Hewson,Aerospace & Defense,Aerospace and Defense,"Bethesda, MD",http://www.lockheedmartin.com,23,"97,000",Lockheed Martin,2017
180,William J. DeLaney III,Wholesalers,Wholesalers: Food and Grocery,"Houston, TX",http://www.sysco.com,23,"51,900",Sysco,2017
181,Frederick W. Smith,Transportation,"Mail, Package, and Freight Delivery","Memphis, TN",http://www.fedex.com,23,"335,767",FedEx,2017
182,Margaret C. Whitman,Technology,Information Technology Services,"Palo Alto, CA",http://www.hpe.com,1,"195,000",Hewlett Packard Enterprise,2017
183,Gonzalo Ramirez Martiarena,"Food, Beverages & Tobacco",Food Production,"Rotterdam, Netherlands",http://www.ldc.com,4,"17,407",Louis Dreyfus Company,2017
184,Wang Wenyin,Technology,"Electronics, Electrical Equip.","Shenzhen, China",http://www.amer.com.cn,5,"17,852",Amer International Group,2017
185,Wan Zulkiflee Wan Ariffin,Energy,Petroleum Refining,"Kuala Lumpur, Malaysia",http://www.petronas.com.my,21,"51,034",Petronas,2017
186,Naomi Hirose,Energy,Utilities,"Tokyo, Japan",http://www.tepco.co.jp,23,"42,060",Tokyo Electric Power,2017
187,Joseph Jimenez,Health Care,Pharmaceuticals,"Basel, Switzerland",http://www.novartis.com,23,"118,393",Novartis,2017
188,Charles H. Robbins,Technology,Network and Other Communications Equipment,"San Jose, CA",http://www.cisco.com,18,"73,700",Cisco Systems,2017
189,Yasuyoshi Karasawa,Financials,Insurance: Property and Casualty (Stock),"Tokyo, Japan",http://www.ms-ad-hd.com,19,"40,641",MS&AD Insurance Group Holdings,2017
190,John Cryan,Financials,Banks: Commercial and Savings,"Frankfurt, Germany",http://www.db.com,23,"99,744",Deutsche Bank,2017
191,Yan Zhiyong,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.powerchina.cn,6,"187,813",PowerChina,2017
192,Wesley Mendonca Batista,"Food, Beverages & Tobacco",Food Production,"Sao Paulo, Brazil",http://jbss.infoinvest.com.br,8,"237,061",JBS,2017
193,Tevin Vongvanich,Energy,Petroleum Refining,"Bangkok, Thailand",http://www.pttplc.com,14,"24,934",PTT,2017
194,Tsuyoshi Nagano,Financials,Insurance: Property and Casualty (Stock),"Tokyo, Japan",http://www.tokiomarinehd.com,23,"38,842",Tokio Marine Holdings,2017
195,Dion J. Weisler,Technology,"Computers, Office Equipment","Palo Alto, CA",http://www.hp.com,23,"49,000",HP,2017
196,Rolf Martin Schmitz,Energy,Utilities,"Essen, Germany",http://www.rwe.com,23,"58,652",RWE,2017
197,Andrew N. Liveris,Chemicals,Chemicals,"Midland, MI",http://www.dow.com,23,"56,000",Dow Chemical,2017
198,Didier Leveque,Food & Drug Stores,Food and Drug Stores,"Paris, France",http://www.finatis.fr,3,"232,503",Finatis,2017
