,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
351,Hitoshi Ochi,Chemicals,Chemicals,Tokyo,https://www.mitsubishichem-hd.co.jp,25,"72,020",Mitsubishi Chemical Holdings
352,"Li Tzar Kuoi, Victor /Fok Kin Ning, Canning",Retailing,Specialty Retailers,Hong Kong,https://www.ckh.com.hk,4,"300,000",CK Hutchison Holdings
353,Ant?nio Horta-Os?rio,Financials,Banks: Commercial and Savings,London,https://www.lloydsbankinggroup.com,25,"64,928",Lloyds Banking Group
354,Shunichi Kito,Energy,Petroleum Refining,Tokyo,https://www.idemitsu.com,25,"9,476",Idemitsu Kosan
355,Matteo Del Fante,Financials,"Insurance: Life, Health (stock)",Rome,https://www.posteitaliane.it,14,"132,388",Poste Italiane
356,Koji Kakigi,Materials,Metals,Tokyo,https://www.jfe-holdings.co.jp,17,"62,083",JFE Holdings
357,Toshihiro Suzuki,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hamamatsu, Japan",https://www.globalsuzuki.com,25,"67,721",Suzuki Motor
358,Long Ziping,Materials,Metals,"Guixi, China",https://www.jxcc.com,7,"23,194",Jiangxi Copper
359,Sun Yongcai,Industrials,Industrial Machinery,Beijing,https://www.crrcgc.cc,1,"187,959",CRRC Group
360,Tidjane Thiam,Financials,Banks: Commercial and Savings,Zurich,https://www.credit-suisse.com,25,"45,680",Credit Suisse Group
361,Sun Jianfen,Materials,Metals,"Wenzhou, China",https://www.tssgroup.com.cn,1,"56,088",Tsingshan Holding Group
362,Qian Zhimin,Energy,Energy,Beijing,https://www.spic.com.cn,8,"124,678",State Power Investment
363,C.C. Wei,Technology,Semiconductors and Other Electronic Components,"Hsinchu, Taiwan",https://www.tsmc.com,5,"48,752",Taiwan Semiconductor Manufacturing
364,Wang Jianping,Engineering & Construction,"Engineering, Construction",Beijing,https://www.ceec.net.cn,6,"129,929",China Energy Engineering Group
365,Barry Lam,Technology,"Computers, Office Equipment","Taoyuan, Taiwan",https://www.quantatw.com,14,"112,421",Quanta Computer
366,Wilfred C.W. Chiang,Energy,Pipelines,Houston,https://www.plainsallamerican.com,5,"4,900",Plains GP Holdings
367,Gong Yande,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.csgc.com.cn,10,"198,932",China South Industries Group
368,Lin Tengjiao,Financials,Diversified Financials,"Fuzhou, China",https://www.yangholdings.com,3,"21,849",Yango Longking Group
369,Wang Yongqian,Materials,Metals,"Jinchang City, China",https://www.jnmc.com,1,"27,594",Jinchuan Group
370,Xiong Qun Li,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.cetc.com.cn,4,"179,636",China Electronics Technology Group
371,Nobuaki Kurumatani,Technology,"Electronics, Electrical Equip.",Tokyo,https://www.toshiba.co.jp,24,"128,697",Toshiba
372,Michael A. Wells,Financials,"Insurance: Life, Health (stock)",London,https://www.prudential.co.uk,24,"23,792",Prudential
373,Matthew Comyn,Financials,Banks: Commercial and Savings,Sydney,https://www.commbank.com.au,15,"45,753",Commonwealth Bank of Australia
374,Masaaki Tsuya,Motor Vehicles & Parts,Motor Vehicles and Parts,Tokyo,https://www.bridgestone.com,25,"143,509",Bridgestone
375,Rui Xiaowu,Technology,"Electronics, Electrical Equip.",Beijing,https://www.cec.com.cn,9,"135,297",China Electronics
376,Sae-Hong Huh,Energy,Petroleum Refining,Seoul,https://www.gscaltex.com,8,"3,212",GS Caltex
377,Kengo Sakurada,Financials,Insurance: Property and Casualty (Stock),Tokyo,https://www.sompo-hd.com,23,"49,837",Sompo Holdings
378,Masahiro Hashimoto,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan",https://www.sumitomolife.co.jp,25,"42,848",Sumitomo Life Insurance
379,Olivier Le Peuch,Energy,"Oil and Gas Equipment, Services",Houston,https://www.slb.com,19,"100,000",Schlumberger
380,Michael F. Roman,Industrials,Miscellaneous,"St. Paul, Minn.",https://www.3m.com,25,"93,516",3M
381,Richard A. Gonzalez,Health Care,Pharmaceuticals,"North Chicago, Ill.",https://www.abbvie.com,4,"30,000",AbbVie
382,Evan G. Greenberg,Financials,Insurance: Property and Casualty (Stock),Zurich,https://www.chubb.com,3,"32,700",Chubb
383,Jay D. Debertin,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, Minn.",https://www.chsinc.com,12,"10,495",CHS
384,Jack Bowles,"Food, Beverages & Tobacco",Tobacco,London,https://www.bat.com,22,"63,877",British American Tobacco
385,Yao Lin,Materials,Metals,"Anshan, China",https://www.ansteel.cn,6,"136,319",Ansteel Group
386,Wen Shugang,Energy,Utilities,Beijing,https://www.chd.com.cn,8,"97,629",China Huadian
387,Richard D. Fairbank,Financials,Banks: Commercial and Savings,"McLean, Va.",https://www.capitalone.com,9,"47,600",Capital One Financial
388,Ng Keng Hooi,Financials,"Insurance: Life, Health (stock)",Hong Kong,https://www.aia.com,5,"22,000",AIA Group
389,Akira Marumoto,Motor Vehicles & Parts,Motor Vehicles and Parts,Hiroshima,https://www.mazda.com,25,"49,998",Mazda Motor
390,Martin Wong,Technology,"Computers, Office Equipment",Taipei,https://www.compal.com,8,"82,374",Compal Electronics
391,Susan Patricia Griffith,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, Ohio",https://www.progressive.com,6,"37,346",Progressive
392,Cornelius Riese /Uwe Fr_hlich,Financials,Banks: Commercial and Savings,Frankfurt,https://www.dzbank.com,25,"28,682",DZ Bank
393,Chung-Kook Park,Motor Vehicles & Parts,Motor Vehicles and Parts,Seoul,https://www.mobis.co.kr,8,"34,782",Hyundai Mobis
394,Shun-Chin Lee,Energy,Petroleum Refining,"Kaohsiung , Taiwan",https://www.cpc.com.tw,19,"15,712",CPC
395,James R. Quincey,"Food, Beverages & Tobacco",Beverages,Atlanta,https://www.coca-colacompany.com,25,"62,600",Coca-Cola
396,Jean-Paul Agon,Household Products,Household and Personal Products,"Clichy, France",https://www.loreal.com,25,"86,030",L’Oréal
397,Albert Manifold,Materials,"Building Materials, Glass",Dublin,https://www.crh.com,16,"89,831",CRH
398,Brian J. Porter,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",https://www.scotiabank.com,22,"97,629",Bank of Nova Scotia
399,George R. Oliver,Industrials,Industrial Machinery,"Cork, Ireland",https://www.johnsoncontrols.com,15,"122,000",Johnson Controls International
400,Wayne Peacock,Financials,Insurance: Property and Casualty (Stock),San Antonio,https://www.usaa.com,6,"33,689",USAA
401,Benjamin M. Smith,Transportation,Airlines,Paris,https://www.airfranceklm.com,23,"81,527",Air France-KLM Group
402,Zhang Gongyan,Materials,Metals,Beijing,https://www.shougang.com.cn,8,"108,086",Shougang Group
403,Dominic Blakemore,Business Services,Food Services,"Chertsey, Britain",https://www.compass-group.com,18,"595,841",Compass Group
404,Antonio Neri,Technology,"Computers, Office Equipment","Palo Alto, Calif.",https://www.hpe.com,3,"60,000",Hewlett Packard Enterprise
405,Philip Jansen,Telecommunications,Telecommunications,London,"https://www,btplc.com",25,"106,700",BT Group
406,Pablo Isla Álvarez de Tejera,Retailing,Specialty Retailers,"Arteixo, Spain",https://www.inditex.com,4,"174,386",Inditex
407,Antoine Frérot,Energy,Utilities,"Aubervilliers, France",https://www.veolia.com,17,"170,819",Veolia Environnement
408,Miles D. White,Health Care,Medical Products and Equipment,"Abbott Park, Ill.",https://www.abbott.com,21,"103,000",Abbott Laboratories
409,Sanjay Mehrotra,Technology,Semiconductors and Other Electronic Components,"Boise, Idaho",https://www.micron.com,1,"36,000",Micron Technology
410,Daniel Obajtek,Energy,Petroleum Refining,"Plock, Poland",https://www.orlen.pl,12,"21,282",PKN ORLEN Group
411,Jean-Pascal Tricoire,Industrials,"Electronics, Electrical Equip.","Rueil-Malmaison, France",https://www.schneider-electric.com,18,"137,534",Schneider Electric
412,Oliver Windholz,Health Care,Wholesalers: Health Care,"Mannheim, Germany",https://www.phoenixgroup.eu,9,"29,631",Phoenix Pharma
413,Alan D. Schnitzer,Financials,Insurance: Property and Casualty (Stock),New York City,https://www.travelers.com,16,"30,400",Travelers Cos.
414,Dong Mingzhu,Industrials,"Electronics, Electrical Equip.","Zhuhai, China",https://www.gree.com,1,"88,800",Gree Electric Appliances
415,Joos Sutter,Food & Drug Stores,Food and Drug Stores,"Basel, Switzerland",https://www.coop.ch,10,"77,448",Coop Group
416,Kathy J. Warden,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",https://www.northropgrumman.com,20,"85,000",Northrop Grumman
417,Mark S. Little,Energy,Petroleum Refining,"Calgary, Alberta, Canada",https://www.suncor.com,10,"12,480",Suncor Energy
418,Roy Gori,Financials,"Insurance: Life, Health (stock)","Toronto, Ontario, Canada",https://www.manulife.com,17,"34,000",Manulife Financial
419,Omar S. Ishrak,Health Care,Medical Products and Equipment,Dublin,https://www.medtronic.com,3,"98,003",Medtronic
420,Shigeki Iwane,Energy,Utilities,"Osaka, Japan",https://www.kepco.co.jp,25,"32,597",Kansai Electric Power
421,Michael J. Long,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, Colo.",https://www.arrow.com,6,"20,100",Arrow Electronics
422,André Calantzopoulos,"Food, Beverages & Tobacco",Tobacco,New York City,https://www.pmi.com,11,"77,400",Philip Morris International
423,Levent Çakiroglu,Energy,Energy,Istanbul,https://www.koc.com.tr,18,"92,631",Koç Holding
424,Simon Lin,Technology,"Computers, Office Equipment",Taipei,https://www.wistron.com,4,"82,955",Wistron
425,Jean Pierre Mustier,Financials,Banks: Commercial and Savings,Milan,https://www.unicreditgroup.eu,24,"86,786",UniCredit Group
426,Sung-Chul Hyun,Financials,"Insurance: Life, Health (stock)",Seoul,https://www.samsunglife.com,23,"5,420",Samsung Life Insurance
427,William R. McDermott,Technology,Computer Software,"Walldorf, Germany",https://www.sap.com,4,"96,498",SAP
428,Philippe Wahl,Transportation,"Mail, Package, and Freight Delivery",Paris,https://www.groupelaposte.com,24,"233,076",La Poste
429,John E. Schlifske,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,https://www.northwesternmutual.com,25,"5,870",Northwestern Mutual
430,Francisco Reynés Massanet,Energy,Utilities,Madrid,https://www.naturgy.com,11,"13,945",Naturgy Energy Group
431,Fabrice Zumbrunnen,Food & Drug Stores,Food and Drug Stores,Zurich,https://www.migros.ch,25,"79,913",Migros Group
432,Emmanuel Faber,"Food, Beverages & Tobacco",Food Consumer Products,Paris,https://www.danone.com,25,"105,783",Danone
433,Brian C. Hartzer,Financials,Banks: Commercial and Savings,Sydney,https://www.westpac.com.au,15,"35,029",Westpac Banking
434,Jong Kyoo Yoon,Financials,Banks: Commercial and Savings,Seoul,https://www.kbfg.com,7,"27,040",KB Financial Group
435,Willie Walsh,Transportation,Airlines,"Harmondsworth, Britain",https://www.iairgroup.com,22,"64,734",International Airlines Group
