id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
18,Randall L. Stephenson,20,"April 22, 1960 (age 60 years), Oklahoma City, OK",United States,"The University of Oklahoma, University of Central Oklahoma",1960.0,2017.0
19,John Elkann,21,"April 1, 1976 (age 44 years), New York, NY",United States,Polytechnic University of Turin,1976.0,2017.0
20,Jim Hackett,22,"April 22, 1955 (age 65 years), Columbus, OH",United States,University of Michigan (1977),1955.0,2017.0
21,Steven H. Collis,24,"1961 (age 59 years), South Africa",Africa,"University of the Witwatersrand, Johannesburg",1961.0,2017.0
22,Thomas Buberl,26,"March 24, 1973 (age 47 years), Cologne, Germany",Germany,"WHU - Otto Beisheim School of Management, Lancaster University, University of St. Gallen",1973.0,2017.0
23,Jeff Bezos,27,"January 12, 1964 (age 56 years), Albuquerque, NM",United States,"Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School",1964.0,2017.0
24,Terry Gou,28,"October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan",Taiwan,"Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School",1950.0,2017.0
25,Wang Hongzhang,29,"July 1954 (age 65 years), Changtu County, Tieling, China",China,"Liaoning College of Finance and Trade, MORE",1954.0,2017.0
26,Takahiro Hachigo,30,"May 19, 1959 (age 60 years), Japan",Japan,Tokyo City University,1959.0,2017.0
27,Patrick Pouyanné,31,"June 24, 1963 (age 56 years), Le Petit-Quevilly, France",France,École Polytechnique,1963.0,2017.0
28,Jeff Immelt,32,"February 19, 1956 (age 64 years), Cincinnati, OH",United States,"Harvard Business School (1982), Dartmouth College (1978), Harvard University, Finneytown Secondary Campus",1956.0,2017.0
29,Lowell C. McAdam,33,"May 28, 1954 (age 65 years), Buffalo, NY",United States,"University of San Diego School of Business Administration, MORE",1954.0,2017.0
30,Masatsugu Nagato,34,"November 18, 1948 (age 71 years), Otaru, Hokkaido, Japan",Japan,Hitotsubashi University,1948.0,2017.0
31,Oliver Bäte,35,"March 1, 1965 (age 55 years), Bergisch Gladbach, Germany",Germany,"University of Cologne (1988–1993), NYU Stern School of Business (1988–1993)",1965.0,2017.0
32,George S. Barrett,36,1957 (age 63 years),,"NYU Stern School of Business (1988), Brown University (1977), Staples High School, New York University",1957.0,2017.0
33,W. Craig Jelinek,37,"August 8, 1952 (age 67 years), California",United States,San Diego State University (1975),1952.0,2017.0
34,Stefano Pessina,38,"June 4, 1941 (age 78 years), Pescara, Italy",Italy,"University of Milan, Politecnico di Milano",1941.0,2017.0
35,Ma Mingzhe,40,"December 1955 (age 64 years), China",China,Zhongnan University of Economics and Law,1955.0,2017.0
36,Rodney McMullen,41,"July 25, 1960 (age 59 years), Pineville, KY",United States,University of Kentucky,1960.0,2017.0
37,Jean-Laurent Bonnafé,44,"July 14, 1961 (age 58 years), Clichy, France",France,"École Polytechnique, Lycée Louis-le-Grand",1961.0,2017.0
38,Hiroto Saikawa,45,,,,,2017.0
39,John S. Watson,46,"October 1956 (age 63 years), California",California,"The University of Chicago (1980), MORE",1956.0,2017.0
40,Timothy J. Mayopoulos,47,"March 7, 1959 (age 61 years), West Reading, PA",United States,"Cornell University, NYU School of Law",1959.0,2017.0
41,Li Yue,48,"1959 (age 61 years), China",China,Beijing University of Posts and Telecommunications,1959.0,2017.0
42,Jamie Dimon,49,"March 13, 1956 (age 64 years), New York, NY",United States,"Harvard Business School (1982), Tufts University, Browning School",1956.0,2017.0
43,Hiroo Unoura,51,"January 13, 1949 (age 71 years), Nanao, Ishikawa, Japan",Japan,The University of Tokyo,1949.0,2017.0
44,Harald Krüger,53,"October 13, 1965 (age 54 years), Freiburg im Breisgau, Germany",Germany,"RWTH Aachen University (1991), MORE",1965.0,2017.0
45,Tim Wentworth,54,,,"Cornell University, Monroe Community College",,2017.0
46,Jeremy Weir,55,"1964 (age 56 years), Melbourne, Australia",Australia,University of Melbourne,1964.0,2017.0
47,Michael A. Wells,57,"April 9, 1960 (age 60 years), Canada",Canada,San Diego State University,1960.0,2017.0
48,Philippe Donnet,58,"July 26, 1960 (age 59 years), Suresnes, France",France,École Polytechnique,1960.0,2017.0
49,Craig Menear,60,"1958 (age 62 years), Flint, MI",United States,"Eli Broad College of Business, Central High School, Michigan State University",1958.0,2017.0
50,Dennis Muilenburg,61,"1964 (age 56 years), Orange City, IA",United States,"Sioux Center Community School District (1982), University of Washington, Iowa State University",1964.0,2017.0
51,Timothy J. Sloan,62,"Cleveland, OH",United States,University of Michigan,,2017.0
52,Brian Moynihan,63,"October 9, 1959 (age 60 years), Marietta, OH",United States,"Notre Dame Law School (1984), Brown University (1981), University of Notre Dame",1959.0,2017.0
53,Ulf Mark Schneider,65,"September 9, 1965 (age 54 years), Neuwied, Germany",Germany,"Harvard Business School, University of St. Gallen",1965.0,2017.0
54,Larry Page,66,"March 26, 1973 (age 47 years), East Lansing, MI",United States,"East Lansing High School (1987–1991), MORE",1973.0,2017.0
55,Joe Kaeser,67,"June 23, 1957 (age 62 years), Arnbruck, Germany",Germany,Ostbayerische Technische Hochschule (OTH) Regensburg,1957.0,2017.0
56,Georges Plassat,68,"March 25, 1949 (age 71 years), Bollène, France",France,"Cornell University, EHL - Ecole hôtelière de Lausanne",1949.0,2017.0
57,Satya Nadella,70,"August 19, 1967 (age 52 years), Hyderabad, India",India,"University of Wisconsin-Milwaukee (1990), MORE', ""Books: Hit Refresh: The Quest to Rediscover Microsoft's Soul and Imagine a Better Future for Everyone"", 'Children: Zain Nadella, Tara Nadella, Divya Nadella",1967.0,2017.0
58,Joseph R. Swedish,71,"May 17, 1951 (age 68 years), Richmond, VA",United States,"Benedictine College Preparatory, UNC Charlotte",1951.0,2017.0
59,Masayoshi Son,73,"August 11, 1957 (age 62 years), Tosu, Saga, Japan",Japan,"University of California, Berkeley (1980), MORE",1957.0,2017.0
60,José Antonio Alvarez,74,"January 6, 1960 (age 60 years), León, Spain",Spain,,1960.0,2017.0
61,Michael Corbat,75,"May 2, 1960 (age 59 years), Bristol, CT",United States,Harvard University (1983),1960.0,2017.0
62,Pedro Parente,76,"February 21, 1953 (age 67 years), Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,University of Brasília,1953.0,2017.0
63,Volkmar Denner,77,"November 30, 1956 (age 63 years), Uhingen, Germany",Germany,"University of Stuttgart (1985), University of Stuttgart (1981)",1956.0,2017.0
64,Timotheus Höttges,78,"September 18, 1962 (age 57 years), Solingen, Germany",Germany,University of Cologne,1962.0,2017.0
65,Chung Mong-koo,79,"March 19, 1938 (age 82 years), Tongchŏn, North Korea",South Korea,,1938.0,2017.0
66,Brian L. Roberts,80,"June 28, 1959 (age 60 years), Philadelphia, PA",United States,"Wharton School of the University of Pennsylvania, University of Pennsylvania, Germantown Academy",1959.0,2017.0
67,Philippe Brassac,81,"August 31, 1959 (age 60 years), Nîmes, France",France,ENSAE Paris,1959.0,2017.0
68,Ginni Rometty,82,"July 29, 1957 (age 62 years), Chicago, IL",United States,Robert R. McCormick School of Engineering and Applied Science at Northwestern,1957.0,2017.0
69,Jean-Bernard Lévy,83,"March 18, 1955 (age 65 years), Suresnes, France",France,"École Polytechnique, Télécom Paris",1955.0,2017.0
70,Ren Zhengfei,84,"October 25, 1944 (age 75 years), Zhenning Buyei and Miao Autonomous County, Anshun, China",China,Chongqing University,1944.0,2017.0
71,Francesco Starace,85,"1955 (age 65 years), Rome, Italy",Italy,Politecnico di Milano,1955.0,2017.0
72,Michael L. Tipsord,86,"June 20, 1959 (age 60 years), Illinois",Illinois,"Illinois Wesleyan University (1981), University of Illinois at Urbana-Champaign",1959.0,2017.0
73,Motoya Okada,88,"June 17, 1951 (age 68 years), Yokkaichi, Mie, Japan",Japan,Babson College,1951.0,2017.0
74,Stuart Gulliver,89,"March 9, 1959 (age 61 years), United Kingdom",United Kingdom,"University of Oxford, Worcester College, Oxford",1959.0,2017.0
75,"Mark W. Wilson, MD, PC",91,,,,,2017.0
76,David John Lewis,93,"May 1, 1869, Centre County, PA",United States,,1869.0,2017.0
77,Isabelle Kocher,94,"December 9, 1966 (age 53 years), Neuilly-sur-Seine, France",France,"École Normale Supérieure (1987), Mines ParisTech",1966.0,2017.0
