,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,country/territory,year
120,121,People's Insurance Co. of China,"$75,377.30 ",5.30%,"$1,952.00 ","$150,259.30 ",-18.10%,"198,457",-4,China,2019
121,122,Target,"$75,356.00 ",4.80%,"$2,937.00 ","$41,290.00 ",0.10%,"360,000",-6,U.S.,2019
122,123,Airbus,"$75,185.00 ",-0.10%,"$3,604.20 ","$131,671.30 ",11.30%,"133,671",-18,Netherlands,2019
123,124,Deutsche Post DHL Group,"$75,000.90 ",6.30%,"$2,448.80 ","$57,687.20 ",-19.90%,"499,018",-5,Germany,2019
124,125,Nippon Life Insurance,"$74,202.30 ",8%,"$2,514.50 ","$712,112.70 ",14.20%,"89,198",1,Japan,2019
125,126,Engie,"$74,144.10 ",-1.50%,"$1,219.10 ","$175,681.40 ",-24%,"160,301",-22,France,2019
126,127,Royal Ahold Delhaize,"$74,103.90 ",4.50%,"$2,116.00 ","$38,097.30 ",3.30%,"225,000",-9,Netherlands,2019
127,128,Freddie Mac,"$73,598.00 ",-1.40%,"$9,235.00 ","$2,063,060.00 ",64.20%,"6,621",-22,U.S.,2019
128,129,Beijing Automotive Group,"$72,677.40 ",4.40%,"$1,097.70 ","$66,789.50 ",-29.40%,"127,163",-5,China,2019
129,130,PTT,"$72,307.20 ",22.90%,"$3,704.40 ","$72,348.40 ",-7%,"26,613",33,Thailand,2019
130,131,Panasonic,"$72,178.40 ",0.20%,"$2,562.80 ","$54,341.10 ",20.30%,"271,869",-17,Japan,2019
131,132,United Parcel Service,"$71,861.00 ",9.10%,"$4,791.00 ","$50,016.00 ",-2.40%,"364,575",6,U.S.,2019
132,133,Lowe's,"$71,309.00 ",3.90%,"$2,314.00 ","$34,508.00 ",-32.90%,"245,000",-5,U.S.,2019
133,134,COFCO,"$71,223.30 ",2.20%,$337.80 ,"$81,657.40 ",-14.20%,"117,842",-12,China,2019
134,135,Intel,"$70,848.00 ",12.90%,"$21,053.00 ","$127,963.00 ",119.30%,"107,400",11,U.S.,2019
135,136,U.S. Postal Service,"$70,660.00 ",1.50%,"($3,913.00)","$26,688.00 ",-,"565,802",-13,U.S.,2019
136,137,CITIC Group,"$70,659.00 ",15.20%,"$4,566.00 ","$986,297.00 ",41.60%,"287,500",12,China,2019
137,138,China Evergrande Group,"$70,478.90 ",53.20%,"$5,652.60 ","$273,829.00 ",56.80%,"131,694",92,China,2019
138,139,JD.com,"$69,847.60 ",29.40%,($376.70),"$30,465.20 ",-,"178,927",42,China,2019
139,140,China North Industries Group,"$68,777.70 ",6.40%,$966.40 ,"$57,675.40 ",12.70%,"210,507",-,China,2019
140,141,China Telecommunications,"$68,709.50 ",7.40%,"$1,664.60 ","$122,945.90 ",-8.50%,"403,014",-,China,2019
141,142,MetLife,"$67,941.00 ",2.70%,"$5,123.00 ","$687,538.00 ",27.80%,"48,000",-6,U.S.,2019
142,143,Renault,"$67,764.10 ",2.30%,"$3,896.90 ","$131,440.40 ",-32.40%,"183,002",-9,France,2019
143,144,ChemChina,"$67,397.50 ",16.20%,"($2,207.60)","$116,353.60 ",-,"138,652",23,China,2019
144,145,Munich Re Group,"$67,225.90 ",-4.20%,"$2,726.20 ","$308,802.00 ",544.90%,"41,410",-25,Germany,2019
145,146,Procter & Gamble,"$66,832.00 ",0.90%,"$9,750.00 ","$118,310.00 ",-36.40%,"92,000",-11,U.S.,2019
