,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
336,Zhang Shuili,Wholesalers,Trading,"Xiamen City, China",https://www.xiangyu-group.com,2,"10,350",XMXYG
337,Kiyotaka Ise,Motor Vehicles & Parts,Motor Vehicles and Parts,"Kariya, Japan",https://www.aisin.com,18,"119,732",Aisin Seiki
338,Shen Bin,Materials,Metals,"Zhangjiagang, China",https://www.shasteel.cn,11,"31,290",Jiangsu Shagang Group
339,John J. Donahoe II,Apparel,Apparel,"Beaverton, Ore.",https://www.nike.com,13,"73,100",Nike
340,Randall T. Jones Sr.,Food & Drug Stores,Food and Drug Stores,"Lakeland, Fla.",https://www.publix.com,25,"202,000",Publix Super Markets
341,Phebe N. Novakovic,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",https://www.generaldynamics.com,19,"105,600",General Dynamics
342,Christopher M. Crane,Energy,Utilities,Chicago,https://www.exeloncorp.com,16,"33,383",Exelon
343,Fujio Mitarai,Technology,"Computers, Office Equipment",Tokyo,https://www.canon.com,25,"195,056",Canon
344,Al Monaco,Energy,Pipelines,"Calgary, Alberta, Canada",https://www.enbridge.com,6,"12,000",Enbridge
345,Yang GuoZhan,Energy,"Mining, Crude-Oil Production","Xingtai, China",https://www.jznyjt.com,9,"112,859",Jizhong Energy Group
346,Johannes Teyssen,Energy,Energy,"Essen, Germany",https://www.eon.com,25,"43,302",E.ON
347,Tatsuya Tanaka,Technology,Information Technology Services,Tokyo,https://www.fujitsu.com,25,"132,138",Fujitsu
348,Tatsufumi Sakai,Financials,Banks: Commercial and Savings,Tokyo,https://www.mizuho-fg.co.jp,19,"59,132",Mizuho Financial Group
349,Hitoshi Ochi,Chemicals,Chemicals,Tokyo,https://www.mitsubishichem-hd.co.jp,25,"72,020",Mitsubishi Chemical Holdings
350,"Li Tzar Kuoi, Victor /Fok Kin Ning, Canning",Retailing,Specialty Retailers,Hong Kong,https://www.ckh.com.hk,4,"300,000",CK Hutchison Holdings
351,Ant?nio Horta-Os?rio,Financials,Banks: Commercial and Savings,London,https://www.lloydsbankinggroup.com,25,"64,928",Lloyds Banking Group
352,Shunichi Kito,Energy,Petroleum Refining,Tokyo,https://www.idemitsu.com,25,"9,476",Idemitsu Kosan
353,Matteo Del Fante,Financials,"Insurance: Life, Health (stock)",Rome,https://www.posteitaliane.it,14,"132,388",Poste Italiane
