id,CEO,Industry,Sector,HQ Location,Website,Years on Global 500 List,company,year
355,Jian-Jong Cheng,"Computers, Office Equipment",Technology,"Taipei, Taiwan",http://www.pegatroncorp.com,3,Pegatron,2015
356,Roger W. Crandall,"Insurance: Life, Health (Mutual)",Financials,"Springfield, MA",http://www.massmutual.com,19,Massachusetts Mutual Life,2015
357,Bharat Masrani,Banks: Commercial and Savings,Financials,"Toronto, Ontario, Canada",http://www.td.com,16,Toronto-Dominion Bank,2015
358,Li Jinping,"Mining, Crude-Oil Production",Energy,"Changzhi, China",http://www.cnluan.com,3,Shanxi LuAn Mining Group,2015
359,Marco Patuano,Telecommunications,Telecommunications,"Milan, Italy",http://www.telecomitalia.com,16,Telecom Italia,2015
360,Michael D. White,Telecommunications,Telecommunications,"El Segundo, CA",http://www.directv.com,8,DirecTV,2015
361,Hitoshi Ochi,Chemicals,Chemicals,"Tokyo, Japan",http://www.mitsubishichem-hd.co.jp,21,Mitsubishi Chemical Holdings,2015
362,Zeng Qinghong,Motor Vehicles and Parts,Motor Vehicles & Parts,"Guangzhou, China",http://www.gaig.com.cn,3,Guangzhou Automobile Industry Group,2015
363,Hans Vestberg,Network and Other Communications Equipment,Technology,"Stockholm, Sweden",http://www.ericsson.com,21,Ericsson,2015
364,"""Chen Xiang'en""","Mining, Crude-Oil Production",Energy,"Zhengzhou, China",http://www.hnecgc.com.cn,5,Henan Energy & Chemical,2015
365,Alexandre de Juniac,Airlines,Transportation,"Paris, France",http://www.airfranceklm.com,19,Air France-KLM Group,2015
366,Rui Xiaowu,Network and Other Communications Equipment,Technology,"Beijing, China",http://www.cec.com.cn,5,China Electronics,2015
367,Jean-Pascal Tricoire,"Electronics, Electrical Equip.",Industrials,"Rueil-Malmaison, France",http://www.schneider-electric.com,14,Schneider Electric,2015
368,Michael R.P. Smith,Banks: Commercial and Savings,Financials,"Docklands, Australia",http://www.anz.com,12,Australia & New Zeal. Bnkg.,2015
369,David J. Lesar,"Oil and Gas Equipment, Services",Energy,"Houston, TX",http://www.halliburton.com,13,Halliburton,2015
370,Rafael Villaseca Marco,Energy,Energy,"Barcelona, Spain",http://www.gasnaturalfenosa.com,7,Gas Natural Fenosa,2015
371,Hu Wenming,Industrial Machinery,Industrials,"Beijing, China",http://www.csic.com.cn,5,China Shipbuilding Industry,2015
372,Masahiro Hashimoto,"Insurance: Life, Health (Mutual)",Financials,"Osaka, Japan",http://www.sumitomolife.co.jp,21,Sumitomo Life Insurance,2015
373,Bu Changsen,"Mining, Crude-Oil Production",Energy,"Jinan , China",http://www.snjt.com,4,Shandong Energy Group,2015
374,Pierre Nanterme,Information Technology Services,Technology,"Dublin, Ireland",http://www.accenture.com,14,Accenture,2015
375,James R. Murdoch,Entertainment,Media,"New York, NY",http://www.21cf.com,21,Twenty-First Century Fox,2015
376,Antoine Frerot,Utilities,Energy,"Paris, France",http://www.veolia.com,13,Veolia Environnement,2015
377,Inge G. Thulin,zMiscellaneous,Industrials,"St. Paul, MN",http://www.3m.com,21,3M,2015
378,Enrique Ochoa Reza,Utilities,Energy,"Mexico City, Mexico",http://www.cfe.gob.mx,10,CFE,2015
379,He Tiancai,"Mining, Crude-Oil Production",Energy,"Jincheng, China",http://www.jamg.cn,3,Shanxi Jincheng Anthracite Coal Mining,2015
380,He Jiuchang,"Mining, Crude-Oil Production",Energy,"""Xi'an, China""",http://www.sxycpc.com,3,Shaanxi Yanchang Petroleum,2015
381,Levent Çakiroglu,Energy,Energy,"Istanbul, Turkey",http://www.koc.com.tr,14,Koç Holding,2015
382,Zhu Xiaoming,Energy,Energy,"Taiyuan , China",http://www.jinnengjt.com,4,Jinneng Group,2015
383,Edward S. Lampert,General Merchandisers,Retailing,"Hoffman Estates, IL",http://www.searsholdings.com,21,Sears Holdings,2015
384,Makoto Yagi,Utilities,Energy,"Osaka, Japan",http://www.kepco.co.jp,21,Kansai Electric Power,2015
385,Frans A. van Houten,"Electronics, Electrical Equip.",Industrials,"Amsterdam, Netherlands",http://www.philips.com,21,Royal Philips,2015
386,Phebe N. Novakovic,Aerospace and Defense,Aerospace & Defense,"Falls Church, VA",http://www.generaldynamics.com,15,General Dynamics,2015
387,Ulf M. Schneider,Health Care: Medical Facilities,Health Care,"Bad Homburg, Germany",http://www.fresenius.com,6,Fresenius,2015
388,Todd Jones,Food and Drug Stores,Food & Drug Stores,"Lakeland, FL",http://www.publix.com,21,Publix Super Markets,2015
389,Barry Lam,"Computers, Office Equipment",Technology,"Taoyuan, Taiwan",http://www.quantatw.com,10,Quanta Computer,2015
390,Zhang Keli,"Mining, Crude-Oil Production",Energy,"Beijing, China",http://www.cnmc.com.cn,3,China Nonferrous Metal Mining,2015
391,Wang Jianping,"Engineering, Construction",Engineering & Construction,"Beijing, China",http://www.ceec.net.cn,2,China Energy Engineering,2015
392,Chen Jinhang,Energy,Energy,"Beijing, China",http://www.china-cdt.com,6,China Datang,2015
393,Chen Bao Lang,Petroleum Refining,Energy,"Mailiao, Taiwan",http://www.fpcc.com.tw,9,Formosa Petrochemical,2015
394,Wiebe Draijer,Banks: Commercial and Savings,Financials,"Utrecht, Netherlands",http://www.rabobank.com,21,Rabobank,2015
395,Jean-Paul Agon,Household and Personal Products,Household Products,"Clichy, France",http://www.loreal.com,21,L’Oreal,2015
396,Kengo Sakurada,Insurance: Property and Casualty (Stock),Financials,"Tokyo, Japan",http://www.sompo-hd.com,19,Sompo Japan Nipponkoa,2015
397,Herbert Bolliger,Food and Drug Stores,Food & Drug Stores,"Zurich, Switzerland",http://www.migros.ch,21,Migros Group,2015
398,Andre Calantzopoulos,Tobacco,"Food, Beverages & Tobacco","New York, NY",http://www.pmi.com,7,Philip Morris International,2015
399,Antonio Huertas Mejías,Insurance: Property and Casualty (Stock),Financials,"Madrid, Spain",http://www.mapfre.com,8,Mapfre Group,2015
400,Zhang Wenxue,"Mining, Crude-Oil Production",Energy,"Tangshan, China",http://www.kailuan.com.cn,4,Kailuan Group,2015
401,Joos Sutter,Food and Drug Stores,Food & Drug Stores,"Basel, Switzerland",http://www.coop.ch,6,Coop Group,2015
402,Zhang Gongyan,Metals,Materials,"Beijing, China",http://www.shougang.com.cn,5,Shougang Group,2015
403,Lu Qizhou,Utilities,Energy,"Beijing, China",http://www.cpicorp.com.cn,4,China Power Investment,2015
404,Andrey Leonidovich Kostin,Banks: Commercial and Savings,Financials,"Moscow, Russia",http://www.vtb.com,2,VTB Bank,2015
405,Oliver Windholz,Wholesalers: Health Care,Health Care,"Mannheim, Germany",http://www.phoenixgroup.eu,5,Phoenix Pharmahandel,2015
406,Carlo Cimbri,"Insurance: Life, Health (stock)",Financials,"Bologna, Italy",http://www.unipol.it,2,Unipol,2015
407,Frans W.H. Muller,Food and Drug Stores,Food & Drug Stores,"Brussels, Belgium",http://www.delhaizegroup.com,21,Delhaize Group,2015
408,Philippe Wahl,"Mail, Package, and Freight Delivery",Transportation,"Paris, France",http://www.laposte.fr,20,La Poste,2015
409,Zhao Shiping,"Mining, Crude-Oil Production",Energy,"Yangquan, China",http://www.ymjt.com.cn,3,Yangquan Coal Industry Group,2015
410,Ernie L. Herrman,Specialty Retailers: Apparel,Retailing,"Framingham, MA",http://www.tjx.com,14,TJX,2015
411,Gavin E. Patterson,Telecommunications,Telecommunications,"London, Britain",http://www.bt.com,21,BT Group,2015
412,Yasuhiro Sato,Banks: Commercial and Savings,Financials,"Tokyo, Japan",http://www.mizuho-fg.co.jp,15,Mizuho Financial Group,2015
413,Arnaud de Puyfontaine,Entertainment,Media,"Paris, France",http://www.vivendi.com,21,Vivendi,2015
414,Thilo Mannhardt,Energy,Energy,"São Paulo, Brazil",http://www.ultra.com.br,6,Ultrapar Holdings,2015
415,Jeffrey L. Bewkes,Entertainment,Media,"New York, NY",http://www.timewarner.com,14,Time Warner,2015
416,Yang Zhaoqian,"Mining, Crude-Oil Production",Energy,"""Xi'an, China""",http://www.shccig.com,1,Shaanxi Coal & Chemical Industry,2015
417,Brian J. Porter,Banks: Commercial and Savings,Financials,"Toronto, Ontario, Canada",http://www.scotiabank.com,18,Bank of Nova Scotia,2015
418,Richard J. Cousins,Food Services,"Hotels, Resturants & Leisure","Chertsey, Britain",http://www.compass-group.com,14,Compass Group,2015
419,Akihisa Mizuno,Utilities,Energy,"Nagoya, Japan",http://www.chuden.co.jp,21,Chubu Electric Power,2015
420,Tang Shuangning,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.ebchina.com,1,China Everbright Group,2015
421,Terry J. Lundgren,General Merchandisers,Retailing,"Cincinnati, OH",http://www.macysinc.com,21,Macy’s,2015
422,Emmanuel Faber,Food Consumer Products,"Food, Beverages & Tobacco","Paris, France",http://www.danone.com,21,Danone,2015
423,Jui-Tsung Chen,"Computers, Office Equipment",Technology,"Taipei, Taiwan",http://www.compal.com,4,Compal Electronics,2015
424,Frank Mastiaux,Utilities,Energy,"Karlsruhe, Germany",http://www.enbw.com,9,Energie Baden-Württemberg,2015
425,Mark G. Parker,Apparel,Apparel,"Beaverton, OR",http://www.nike.com,9,Nike,2015
426,He Tongxin,"Engineering, Construction",Engineering & Construction,"Beijing, China",http://www.genertec.com.cn,2,China General Technology,2015
427,Robert M. Dutkowsky,Wholesalers: Electronics and Office Equipment,Wholesalers,"Clearwater, FL",http://www.techdata.com,17,Tech Data,2015
428,Jun Mutoh,Petroleum Refining,Energy,"Tokyo, Japan",http://www.tonengeneral.co.jp,1,TonenGeneral Sekiyu,2015
429,Masamichi Kogai,Motor Vehicles and Parts,Motor Vehicles & Parts,"Hiroshima, Japan",http://www.mazda.com,21,Mazda Motor,2015
430,Richard Hamada,Wholesalers: Electronics and Office Equipment,Wholesalers,"Phoenix, AZ",http://www.avnet.com,5,Avnet,2015
431,David T. Potts,Food and Drug Stores,Food & Drug Stores,"Bradford, Britain",http://www.morrisons.com,11,Morrisons,2015
432,Ma Zehua,Shipping,Transportation,"Beijing, China",http://www.cosco.com,8,China Ocean Shipping,2015
433,John E. Schlifske,"Insurance: Life, Health (Mutual)",Financials,"Milwaukee, WI",http://www.northwesternmutual.com,21,Northwestern Mutual,2015
434,Steve J. Easterbrook,Food Services,"Hotels, Resturants & Leisure","Oak Brook, IL",http://www.aboutmcdonalds.com,21,McDonald’s,2015
435,Christopher M. Crane,Utilities: Gas and Electric,Energy,"Chicago, IL",http://www.exeloncorp.com,12,Exelon,2015
