,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
146,"$66,832.00 ","$9,750.00 ","$118,310.00 ","$52,293.00 ",14.60%,8.20%,18.60%,Procter & Gamble,2019
147,"$66,753.50 ","$2,082.50 ","$61,526.00 ","$17,870.60 ",3.10%,3.40%,11.70%,Marubeni,2019
148,"$66,501.00 ","$5,269.00 ","$134,211.00 ","$38,446.00 ",7.90%,3.90%,13.70%,United Technologies,2019
149,"$66,310.00 ","$2,168.20 ","$103,676.10 ","$36,645.70 ",3.30%,2.10%,5.90%,China Baowu Steel Group,2019
150,"$65,644.80 ","$11,131.30 ","$1,388,230.00 ","$101,723.80 ",17%,0.80%,10.90%,Bank of Communications,2019
151,"$65,534.40 ",$695 ,"$138,082.70 ","$26,644.30 ",1.10%,0.50%,2.60%,Aviation Industry Corp. of China,2019
152,"$65,450.00 ","$4,572.00 ","$52,330.00 ","$19,416.00 ",7%,8.70%,23.50%,FedEx,2019
153,"$64,794.90 ","$2,029.60 ","$505,478.10 ","$15,440.60 ",3.10%,0.40%,13.10%,Dai-ichi Life Holdings,2019
154,"$64,661.00 ","$12,515.00 ","$77,648.00 ","$14,518.00 ",19.40%,16.10%,86.20%,PepsiCo,2019
155,"$64,341.00 ","$1,810.00 ","$40,833.00 ","$18,981.00 ",2.80%,4.40%,9.50%,Archer Daniels Midland,2019
156,"$62,992.00 ","$4,074.00 ","$815,078.00 ","$48,617.00 ",6.50%,0.50%,8.40%,Prudential Financial,2019
157,"$62,751.40 ","$3,735.90 ","$107,940.50 ","$38,521.40 ",6%,3.50%,9.70%,Mitsui,2019
158,"$62,230.60 ","$11,868.30 ","$154,071.20 ","$92,123.70 ",19.10%,7.70%,12.90%,Petronas,2019
159,"$61,486.50 ","$1,838.00 ","$52,069.20 ","$22,199.50 ",3%,3.50%,8.30%,Seven & I Holdings,2019
160,"$61,420.40 ","$4,360.60 ","$71,563.40 ","$31,492.50 ",7.10%,6.10%,13.80%,Oil & Natural Gas,2019
161,"$61,224.00 ",$803.80 ,"$123,815.20 ","$11,531.20 ",1.30%,0.60%,7%,PowerChina,2019
162,"$60,994.30 ","$1,196.10 ","$40,132.50 ","$10,805.30 ",2%,3%,11.10%,Toyota Tsusho,2019
163,"$60,846.20 ","$10,738.10 ","$79,680.30 ","$28,031.30 ",17.60%,13.50%,38.30%,Roche Group,2019
164,"$60,749.20 ","($1,351.30)","$41,073.70 ","$9,074.30 ",-2.20%,-3.30%,-14.90%,Auchan Holding,2019
165,"$60,534.50 ",$131.10 ,"$20,776.60 ","$1,450.70 ",0.20%,0.60%,9%,Albertsons Cos.,2019
166,"$60,405.30 ","$7,871.00 ","$2,811,411.40 ","$120,178.50 ",13%,0.30%,6.50%,Mitsubishi UFJ Financial Group,2019
167,"$60,167.30 ","$11,080.60 ","$67,958.20 ","$13,226.80 ",18.40%,16.30%,83.80%,Unilever,2019
168,"$60,116.00 ",$900 ,"$30,901.00 ","$10,917.00 ",1.50%,2.90%,8.20%,Centene,2019
169,"$59,980.20 ",$884.40 ,"$49,823.40 ","$8,499.20 ",1.50%,1.80%,10.40%,Sinopharm,2019
170,"$59,434.00 ","$12,598.00 ","$98,598.00 ","$48,773.00 ",21.20%,12.80%,25.80%,Walt Disney,2019
