,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
133,"$71,223.30",$337.8,"$81,657.40","$11,879.00",0.5%,0.4%,2.8%,COFCO
134,"$70,848.00","$21,053.00","$127,963.00","$74,563.00",29.7%,16.5%,28.2%,Intel
135,"$70,660.00","$-3,913.00","$26,688.00","$-62,637.00",-5.5%,-14.7%,-,U.S. Postal Service
136,"$70,659.00","$4,566.00","$986,297.00","$48,767.20",6.5%,0.5%,9.4%,CITIC Group
137,"$70,478.90","$5,652.60","$273,829.00","$19,370.90",8%,2.1%,29.2%,China Evergrande Group
138,"$69,847.60",$-376.7,"$30,465.20","$8,705.70",-0.5%,-1.2%,-4.3%,JD.com
139,"$68,777.70",$966.4,"$57,675.40","$15,179.90",1.4%,1.7%,6.4%,China North Industries Group
140,"$68,709.50","$1,664.60","$122,945.90","$53,533.10",2.4%,1.4%,3.1%,China Telecommunications
141,"$67,941.00","$5,123.00","$687,538.00","$52,741.00",7.5%,0.7%,9.7%,MetLife
142,"$67,764.10","$3,896.90","$131,440.40","$40,629.10",5.8%,3%,9.6%,Renault
143,"$67,397.50","$-2,207.60","$116,353.60",$355.5,-3.3%,-1.9%,-621%,ChemChina
144,"$67,225.90","$2,726.20","$308,802.00","$30,139.80",4.1%,0.9%,9%,Munich Re Group
145,"$66,832.00","$9,750.00","$118,310.00","$52,293.00",14.6%,8.2%,18.6%,Procter & Gamble
146,"$66,753.50","$2,082.50","$61,526.00","$17,870.60",3.1%,3.4%,11.7%,Marubeni
147,"$66,501.00","$5,269.00","$134,211.00","$38,446.00",7.9%,3.9%,13.7%,United Technologies
148,"$66,310.00","$2,168.20","$103,676.10","$36,645.70",3.3%,2.1%,5.9%,China Baowu Steel Group
149,"$65,644.80","$11,131.30","$1,388,230.00","$101,723.80",17%,0.8%,10.9%,Bank of Communications
150,"$65,534.40",$695,"$138,082.70","$26,644.30",1.1%,0.5%,2.6%,Aviation Industry Corp. of China
151,"$65,450.00","$4,572.00","$52,330.00","$19,416.00",7%,8.7%,23.5%,FedEx
152,"$64,794.90","$2,029.60","$505,478.10","$15,440.60",3.1%,0.4%,13.1%,Dai-ichi Life Holdings
153,"$64,661.00","$12,515.00","$77,648.00","$14,518.00",19.4%,16.1%,86.2%,PepsiCo
154,"$64,341.00","$1,810.00","$40,833.00","$18,981.00",2.8%,4.4%,9.5%,Archer Daniels Midland
155,"$62,992.00","$4,074.00","$815,078.00","$48,617.00",6.5%,0.5%,8.4%,Prudential Financial
156,"$62,751.40","$3,735.90","$107,940.50","$38,521.40",6%,3.5%,9.7%,Mitsui
157,"$62,230.60","$11,868.30","$154,071.20","$92,123.70",19.1%,7.7%,12.9%,Petronas
158,"$61,486.50","$1,838.00","$52,069.20","$22,199.50",3%,3.5%,8.3%,Seven & I Holdings
159,"$61,420.40","$4,360.60","$71,563.40","$31,492.50",7.1%,6.1%,13.8%,Oil & Natural Gas
160,"$61,224.00",$803.8,"$123,815.20","$11,531.20",1.3%,0.6%,7%,PowerChina
